,별점,리뷰내용,작성자,작성일자,공감,비공감
544,10,영화 두번보고 싶은맘이 들게한건 처음이다블랙팬서는 그저그랬는데 이번껀 충격이다 ,초코꿀딴지(dnrl****),2018.04.27 22:53,6,0
545,10,관람객잊혀지지않네ㅋㅋ또봐야지 ,love****,2018.04.27 22:52,6,0
546,10,시작하자마자 5분만에 본전뽑았다. ,fotm****,2018.04.27 22:46,6,0
547,10,관람객어벤져스 시리즈 중 가장 몰입도 높았다 ,gude****,2018.04.27 22:44,6,0
548,10,캡틴 등장할때 브금이랑 레알 소름 돋고 멋졌음.. ,JB본드(rtgo****),2018.04.27 22:29,6,0
549,10,토르 사랑해요 헴식이 오빠 사랑해요 ,OmO(gmlt****),2018.04.27 22:23,6,0
550,9,마블 구조조정 영화ㅋㅋㅋㅋ ,조우현(wwwn****),2018.04.27 22:21,6,0
551,10,관람객굿 재밋습니다 반전 대박 ,쥬ㅣㅇ나ㅓ(pch1****),2018.04.27 21:58,6,0
552,10,관람객진짜 스포없이봐야 졸잼인데...난 안당했지롱ㅎㅎ ,pret****,2018.04.27 21:19,6,0
553,10,봤는데 안본기분... 일단 두번 더봐야겠다 ,핑돼변호인(kjk0****),2018.04.27 18:45,6,0
554,10,하... ㅅ 발.. 진짜 어떻게 이렇게 극도로 멋진 영화를 만드는 지 헐리웃 진짜 존경스럽다. 진짜 아무리 높게 평가해도 끝이 없을 거 같음. 어떻게 이렇게 미친 영화를 만들지? ,gunble(prez****),2018.04.27 15:15,6,0
555,8,관람객쿠키에서 퓨리가 어머니..하는거 보고 기가차서ㅋㅋ ,춥다추워(sixt****),2018.04.27 13:59,6,0
556,10,영화끝나고 관객들은 뭐야 끝난거야? 라는 분위기에 살짝 뻥졌지만 저는 오히려 결말이 좋았습니다.타노스라는 캐릭터를 너무강하고 철학적으로 깊이 있는 캐릭으로 만들었기에 마지막에 타노스를 어떻게 처리할지 궁금했는데 이렇...,하율대디(seok****),2018.04.27 13:46,6,0
557,8,관람객영화는 정말 심혈을 기울여 잘 만들어 놓고 번역 정말 무슨일이야... ,밝(suij****),2018.04.27 12:26,6,0
558,10,관람객악당이 이겼다. 내겐 이것 만으로도 최고의 영화다 ,랏시(weed****),2018.04.27 11:35,6,0
559,10,난 이제 토르 팬이다 하.. ,DB10(rkdf****),2018.04.27 11:35,6,0
560,10,타노스 마지막에 현타온것 같다. 자기가 사랑하는 사람 없이는 부질없다고 느낀듯. ,qweasfxzc(dlck****),2018.04.27 04:15,6,0
561,10,관람객그냥 소름돋아서 입장전 오줌다빼고 갓는데도 오줌마려운 현실 ,단큐(bumj****),2018.04.27 04:03,6,0
562,10,어벤져스4의 키는 시간 되돌리기? 아니다. 어벤져스4와  그 이후의 계속 진행될 MCU의 키는 '멀티버스'다. 아마 어벤져스4에서 멀티버스의 다른지구가 배경이 되며 1편의 뉴욕사태와 관련.  7월개봉 ...,빅클럽조무사ManU(bak5****),2018.04.27 03:52,6,0
563,10,관람객번역가만 아니면 최고의 영화 ,시누(shin****),2018.04.27 02:23,6,0
564,10,마블팬으로써 이영화는 최고였다 ,박서연(rlaw****),2018.04.26 23:26,6,0
565,10,절대  보지  마세요. 보고 나면 일년을 어떻게 참고 살아야 할 지 고민하게 됩니다. ,섭군(zedm****),2018.04.26 21:54,6,0
566,10,말도 안되게 재밌어서 두편 연달아서 보고왔어요 그리고 번역가씨 실업자 만들어주세요 제발요 ,이은정(lej6****),2018.04.26 18:31,6,0
567,8,관람객오역때문에 작품 전체 내용이 달라짐 ,나치루(roak****),2018.04.26 14:45,6,0
568,10,평점에 스포다는 개OO들은 뭐야; ,난나야(dlrb****),2018.04.26 12:08,6,0
569,9,"최고의 마블, 최악의 번역 ",spad****,2018.04.26 10:30,6,0
570,10,관람객그냥 닥치고 또 보고싶다 ,뿅(tjsg****),2018.04.26 09:24,6,0
571,8,관람객마지막에  닥터스트레인져 왜 아이언맨 살려줌 ?닥터스트레인져 가 아이언맨과 목숨 바꾼 이유가 있음예지력 으로보니  다음편에서  아이언맨이 한건한다 ,jins****,2018.04.26 09:12,6,0
572,10,와진짜 많은 오역이 있었지만motherfuxxxx에서 어머니라고 할줄은.... ,강현민(wow9****),2018.04.26 08:15,6,0
573,10,관람객저는 진짜 재밌게 봤습니다. 토르간지 ,화상꽃(wjdw****),2018.04.26 04:57,6,0
574,10,정말 마블 영화중 가장 신선하고 충격적이였던 영화. 마블덕후로서 정말 환장하면서 봤습니다!! 너무 기대되요!근데 제발 예전부터 말씀드렸던 거지만 제발 번역가 좀 바꿔주세요 제발 오역 진짜 미칠거같아요 ,쉐이드(ehdw****),2018.04.26 03:45,6,0
575,10,관람객대박...충격적이다 ,쭈(youn****),2018.04.26 02:32,6,0
