,별점,리뷰내용,작성자,작성일자,공감,비공감
127,10,이게 가능하다고???? ,히드라 리스크(zamd****),2016.10.20 11:56,5,0
128,8,어벤져스의 첫 팀웍 활동. ,서디귿(phea****),2019.10.27 00:41,6,1
129,8,어벤져스가 어벤져스했다. 정주행으로 보니 진가를 깨달았다. ,FromMe(boom****),2019.05.14 12:46,6,1
130,10,올해 고3인데 나의 마지막10대를 책임져준 어벤져스 시리즈가 이렇게또 끝나네 ㅠㅠ ,사비스트레인지(vhvh****),2019.04.29 07:00,6,1
131,10,"솔직히 2, 3보다 1이 낫다. ",강화지(yugo****),2018.05.27 17:40,6,1
132,10,만화를 영화로 본 순간 손에 땀이남..ㅠㅠ ,아트하랑(cjdg****),2018.04.15 19:45,6,1
133,10,마블이 드디어 꿈을 이룬 거 같아 내가 오히려 기쁜 마음이 들었다. 이런 영화를 만들 수 있다는 것은 그야말로 대박이다. ,dlax****,2018.01.16 22:31,6,1
134,10,마블 최고!! 역시 어벤져스 ,river 13914(kmin****),2016.08.15 20:03,6,1
135,10,이건 걍 짱이다.엄청나다 ,신현남(hoho****),2016.07.24 17:03,6,1
136,10,깨알 재미요소하고 멋있는 액션씬하고 잘 어울리는 영화중간에 토니가 중년남성 5명중에1명은 부전 이라고 말한거 뿜음 ,you830(llss****),2016.07.21 17:26,6,1
137,10,과거에 아이언맨만 보고봣을때 이해도잘안되고 와닿는것도없어서 그냥저냥보고말앗는데..이번에 마블시리즈순서대로보고나니 이해도재미도 확실히 장난아니엇음. 각각 알고잇엇던 영웅들을 합쳐놓으니 참 신박하고 흥미로워서 재미도더햇...,Sy(sssy****),2016.05.11 10:31,6,1
138,10,재밌엉 ㅠㅠㅠㅠcg짱짱맨 ,인형(cuty****),2015.04.10 21:06,6,1
139,9,짱!!!!  헐~크!!! ,진민우(jmw0****),2015.02.28 21:11,6,1
140,10,솔직히 이게  왜 8점대지;; ,삐돌이777(alex****),2015.01.19 16:36,6,1
141,10,닝겐노유리와튼튼데스네 가 제일인상적이었습니다. ,jby0****,2014.10.21 18:48,6,1
142,10,유치하거나 말거나 재미만 있었다. 킬링타임용 영화 중에서도 단연 최고인듯. ,정통국사(zkvl****),2014.02.01 23:36,7,2
143,10,솔직히 너무 재밌었다... 디씨도 분발해서 저스티스 리그 오브 아메리카 빨리 만들자. ,zaqz****,2014.01.31 05:53,8,3
144,9,"이걸 먼저 봤을땐 그저그랬는데, 전작들을 다 복습하고 보니 더 좋더라. ",행복은 지금 이 순간(harr****),2020.01.31 21:45,4,0
145,10,완벽그자체인영화!!!! ,토트넘챔스가자제발(ftgm****),2019.11.16 15:13,4,0
146,7,무난하다고 본다... ,yana****,2019.08.25 01:20,4,0
147,10,4번째 ㅠ 최고에요 !! ,김경원(gyeo****),2019.08.07 08:23,4,0
148,9,슈퍼히어로 액션의 신기원을 열다 ,timeist(chun****),2019.08.05 12:15,4,0
149,10,재개봉 해줬으면 좋겠음 ,parkhyonsu(omom****),2019.07.21 03:51,4,0
150,10,아벤져스는 역시 어벤져스 ㄷㄷ ,김혜승(gptm****),2019.07.12 15:45,4,0
151,10,저도 어벤져스 지원 가능한가요? ,킹갓누노(zksn****),2019.06.09 02:02,4,0
152,9,조스 웨던의 장점이 여과없이 드러나는 영화 ,조선왕조실룩샐룩(yulj****),2019.06.06 01:04,4,0
153,10,개사랑해토니스타크ㅠㅠㅠ ,스폰지밥(coco****),2019.05.18 23:50,4,0
154,10,액션최고.볼만함아주 ,7405****,2019.05.07 19:26,4,0
155,10,재미있게 잘 봤습니다. ,TMA(yyw2****),2019.04.27 11:36,4,0
156,10,전설의 시작. 전부 레전드. 근데 난 그중에서 아이언맨이랑 블랙위도우가 제일 최고!! 역대급 블록버스터. ,신짱아(hhho****),2019.03.06 13:28,4,0
157,8,10자 싫다... 전설의 시작. ,doll****,2019.02.24 16:14,4,0
158,8,스토리자체는 외계인으로부터 영웅들이 지구를 지키는 평범한 스토리지만 cg효과등 눈을 즐겁게 해주는 요소가많이있다. ,만화가좋은주탱(sout****),2019.02.21 12:14,4,0
159,8,스카이캐슬 상위 0.5프로 능력자들이 모였을때 생기는 안좋은예.과다경쟁과 개성이 없어지는 부작용을 느낄 수 있다.결국 최고 능력자는 로키였음을 깨닫게 됐다.. ,러블리즈 응원합니다(maum****),2019.02.20 17:47,4,0
160,10,"진짜 2, 3편도 재미있지만 1편이 레전드인듯 ",유똥이(yutt****),2019.01.09 11:14,4,0
161,10,개봉날 봤었는데 스토리 다 잊어버려서 다시봄.. 캡틴아메리카와 아이언맨 불화가 처음부터 있었구나. ,cookie(love****),2018.10.08 11:13,4,0
162,10,위대한 시작 ,김주영(kjyo****),2018.08.31 16:37,4,0
163,10,극장에서 본지 6년 됐는데 이것도 추억이 되어가는건가... 역시 어벤져스는 진리다. 아이언맨은 사랑입니다. ,신유민(mins****),2018.08.28 23:04,4,0
164,9,왜 세계관을 공유하는 영화가 유행하는지 단번에 이해할 수 있겠다 ,웅동(enoq****),2018.08.27 02:50,4,0
165,10,어벤져스1 캡틴 유니폼이 너무촌스럽긴한데 영화 자체는 좋앗따 ,JYmv(qwqw****),2018.08.05 20:52,4,0
166,10,이걸 이제보다니... ,mwit****,2018.07.24 06:57,4,0
167,10,정석대로 묵묵히 몰아붙이면 이런 영화가 나온다. ,cmlg****,2018.07.21 23:20,4,0
168,10,진짜 믿고보는 마블... 로키 넘 좋아♥ ,권나연(dafn****),2018.07.12 19:59,4,0
169,10,외계인들 지겹도록 끊임없이 쳐들어와서 보는 나도 힘드니 히어로들 고생하는구나 생각했다.. 영화지만 ,미래(heyw****),2018.07.11 05:14,4,0
170,10,믿고보는 마블영화 봐도봐도 안질린다 ,오성빈(seon****),2018.06.30 22:48,4,0
171,10,정말로 마블 이때에도 대형사고를 쳤구나 ,임현우(lhw2****),2018.06.29 22:07,4,0
172,9,개꿀잼 진짜 ㄷ ㄷ ㄷ 오그라드는 장면 몇 있지만 히어로물이니께 ㅎㅎ ,옌디아(dnvk****),2018.06.24 01:28,4,0
173,10,진짜 전설의 시작이였지...첫번째는 아이언맨1 이고... ,pullu(pull****),2018.06.16 21:09,4,0
174,10,내 인생영화 입니다 마블시리즈 끝나지말아요 ㅠㅠ ,sur0****,2018.06.12 13:38,4,0
175,8,후반 40분은 화려함의 극을 달리는 스케일. 조스웨던 감독의 각본과 연출력에 박수를 보낸다 ,판타스틱싱어(coco****),2018.05.30 05:56,4,0
176,10,콜슨 좋아했어요ㅠㅠ 헐크짱! ,김지민(fore****),2018.05.09 01:00,4,0
177,10,진짜  최고의 영화 전설의 시작 ,김효달(rlat****),2018.05.07 22:54,4,0
178,10,"전설의 시작. 아, 캡틴아메리카1이던가 ",smile(0319****),2018.04.28 03:07,4,0
179,10,치타우리가 깽판치는 뉴욕 중심에서어벤져스 모두가 모이고 그들에게 포커스를 맞추면서 돌때 눈물이 났다.. ,백설공주(llka****),2018.04.22 13:33,4,0
180,10,말이 필요한가?  전설의 시작. ,수빈(4220****),2018.03.31 13:40,4,0
181,10,최고의 영화 최고의 액션 ,은이은이(youn****),2018.01.05 01:27,4,0
182,10,명작 이건 상줘야함 ㄹㅇ ,부끅곰(rkqa****),2017.12.15 19:07,4,0
183,10,마블 시네마틱 유니버스의 최고 흥행작일 자격이 있다. ,레고(lego****),2017.11.02 15:40,4,0
184,10,최고의 히어로물 마블 영화 어렸을때 안본걸 후회한다 ㅠ ,ㅌㅌ(jjj1****),2017.10.05 18:42,4,0
185,10,이걸 이제야 보다니ㅠ ㅠ 역시 사람들한테 인기있는 영화는 이유가 있다 ,rnjs2302(rnjs****),2017.09.15 22:30,4,0
186,10,마블의 역대급프로젝트답게 역대급임 히어로들이 각각 다 매력있고 마블다운 유머도 적절했고 액션씬은 장난아니라는거 ㅇㅇ ,인간(tkek****),2017.03.17 20:05,4,0
187,9,최고의 오락영화 확실히1편은 재미졌음 ,동네형(best****),2017.01.26 09:58,4,0
188,10,거의 상영관 끝물에 겨우 극장가서 봤는데.. 극장에서 보길 잘했다고 생각이 드는 마블 영화~~!!!! 엄지 척!!! ,Danny Seong(whun****),2016.10.10 11:22,4,0
